endereco;descricao;area_m2;quartos;banheiros;vagas_garagem;valor_imovel;valor_condominio;valor_iptu;link;bairro;cidade
Rua Vieira de Morais;Apartamento amplo com muita luminosidade, repleto de armários. Localização privilegiada na principal avenida do campo belo, com facilidade de fazer tudo a pé a menos de 5 minutos tem a disposição, mercado, lojas, restaurantes e conveniências. Fácil acesso aos grandes centros financeiros e comerciais. Facilidade de locomoção de metrô e ônibus. -;62;2;2;1;550000;847;111;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-cozinha-campo-limpo-zona-sul-sao-paulo-sp-62m2-id-2645644797/;Campo Belo; São Paulo
Rua Fabiana Kila de Ávila;Seja bem-vindo ao seu paraíso particular no Residencial Lagos de Nova Ipanema! Esta encantadora casa individual oferece um ambiente aconchegante com um espaçoso living em conceito aberto, lavabo e uma bela lareira. A cozinha é um destaque, com móveis planejados em selestone branco, cooktop, coifa e forno da linha Tramontina Blue Dark, que adicionam muito charme à sala de jantar. Além disso, a casa conta com um recanto especial no espaço gourmet, equipado com churrasqueira, que se torna um verdadeiro refúgio nos dias de descanso. Não podemos deixar de mencionar o incrível ofurô em destaque no pátio, proporcionando momentos relaxantes. No segundo pavimento, você encontrará três dormitórios, sendo um deles uma suíte com sacada. Todos os dormitórios são repletos de móveis planejados, garantindo praticidade e organização. O Residencial Lagos de Nova Ipanema foi projetado para oferecer bem-estar e tranquilidade aos seus moradores. Parte do Complexo Residencial do Lago, um ambicioso projeto composto por loteamentos residenciais e condomínios horizontais fechados, o residencial foi entregue em março de 2007. Localizado próximo a todas as comodidades da Zona Sul de Porto Alegre, como supermercados, bancos, shoppings, postos de conveniência e comércio em geral, o empreendimento conta com 257 lotes e uma infraestrutura de altíssima qualidade. As ruas são pavimentadas com blocos de concreto, há sistemas de esgoto cloacal e pluvial, uma praça recreativa e uma quadra poliesportiva. No centro do complexo, você encontrará uma praça arborizada com um lago, perfeita para uma caminhada relaxante ao final da tarde ou um chimarrão entre amigos. A segurança é uma prioridade, pois o Residencial Lagos de Nova Ipanema é totalmente cercado por muros e possui segurança 24 horas por dia, com profissionais monitorando os acessos de entrada e saída. Venha se encantar, agende sua visita! Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.  Fale conosco: -;150;3;4;2;749000;0;89;https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-hipica-porto-alegre-rs-150m2-id-2645645211/;Hípica; Porto Alegre
Rua Iapó;ÓTIMA OPORTUNIDADE! IMÓVEL PRÓXIMO A MARGINAL TIETÊ !  SOBRADO COMERCIAL NO CORAÇÃO DA CASA VERDE, CONTANDO COM 2 DORMITÓRIOS, SALA AMPLA PARA 02 AMBIENTES E COM VARANDA, COZINHA ESPAÇOSA, QUINTAL, EDICULA, ÁREA DE SERVIÇO E BANHEIRO. PISO TÉRREO : SALA PARA ESCRITÓRIO E SALÃO VÃO LIVRE.  ÓTIMA LOCALIZAÇÃO AO LADO DA MARGINAL TIETÊ , PRÓXIMO AO CARREFOUR CASA VERDE , BOA INFRA ESTRUTURA EM COMÉRCIO , BANCOS , TRANSPORTES E ETC  AGENDE UMA VISITA ! AGUARDAMOS SEU CONTATO ! -;398;2;1;0;1600000;0;844;https://www.zapimoveis.com.br/imovel/venda-sobrados-2-quartos-com-cozinha-casa-verde-zona-norte-sao-paulo-sp-398m2-id-2645647653/;Casa Verde; São Paulo
Rua João Alfredo;Excelente apartamento JK, com cozinha e área de serviço separadas, janela grande com vista para a rua, posição lateral em prédio de boa apresentação com elevador e condomínio baixo. Localizado na rua João Alfredo próximo a supermercados e comércio em geral. Agende sua visita.  Fale conosco: -;32;1;1;1;139000;180;200;https://www.zapimoveis.com.br/imovel/venda-flat-1-quarto-cidade-baixa-porto-alegre-rs-32m2-id-2645644523/;Cidade Baixa; Porto Alegre
Rua Jacurici;Excelente oportunidade! Apartamento com 190m², 3 suítes e 3 vagas. O imóvel possui ar condicionado, armário embutidos, sala para 4 ambientes, closet, copa, lavabo, sala de jantar, varanda, área de serviço, dependência e wc para empregados. Área de lazer com jardim, piscina, quadra poliesportiva e salão de festa. Além de ser um bairro familiar e arborizado, possui ótima localização, próximo às Avenidas Brigadeiro Faria Lima e Cidade Jardim, com fácil acesso aos Parques do Povo e Ibirapuera. A estação Cidade Jardim da CPTM está aproximadamente a 750 M de distância do imóvel. A região ainda conta com grande oferta de restaurantes, supermercados, farmácias e escolas.  Agende uma visita conosco no site www.olimpiahouse.com.br / www.instagram.com/olimpiahouse;190;3;3;3;3489990;3600;1998;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-quadra-poliesportiva-itaim-bibi-zona-sul-sao-paulo-sp-190m2-id-2646095790/;Itaim Bibi; São Paulo
Não informado;Apartamento dois dormitórios, totalmente reformado, sala dois ambientes, banheiro finamente decorado e com box de vidro, cozinha mobiliada com granito, área de serviço, rebaixo em gesso com sanca, 1 aparelho de ar condicionado, roupeiro do casal . Condomínio c/salão de festas, portaria remota, academia, almplo jardim. Imóvel próximo ao shopping Canoas, La Salle, Fórum, HPS, Carrefour, farmácias, escolas. Fácil acesso a Br 116 e 448, serra, litoral e capital. -;76;2;2;1;299900;500;900;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-centro-canoas-rs-76m2-id-2585202136/;São Luis; Canoas
Rua Camillo Nader;Em meio a selva de pedra, uma rua arborizada, ao som de pássaros e vista verde. Sim, quase inacreditável! Isso temos aqui no Real Parque! Um amplo apartamento de 210m2 em condomínio exclusivo e portaria 24 horas. Poucos vizinhos e lazer super agradavél. A parte íntima da casa conta com 4 suites e uma aconchegante sala de televisão. Já a aréa social conta com sala de 2 ambientes e uma ampla varanda. Junto a cozinha, uma charmosa sala de almoço, palco de encontro da família, está decorada com armário da marca ornare que fica na casa. O Apartamento conta com espaço privativo de churrasqueira, junto a esta sala de almoço!!! Os antigos moradores, que compraram este apartamento na planta, por acharem perfeito, agora numa nova fase de filhos adultos, se mudam para o mesmo bairro, num apartamento que se adequa mais a eles, deixando assim esta oportunidade para que novos moradores façam deste lugar o seu novo lar! Para o seu maior conforto e segurança, os elevadores possuem código, água quente em todas as torneiras e a sua planta é super flexível. Com boa área de serviço, dependências de funcionário, 3 vagas de garagem e 1 depósito, encerro a descrição da parte privativa do apartamento. O condomínio conta com piscina, saúna, academia, miniquadra e Playground. Nas proximidades excelentes escolas, Pio XXII, Avenues, Eugenio Montale, Seesaw, Maple Bear entre outras. Academias de ginástica, mercados como Pão de Açúcar e San Marche, clube Paineras e restaurantes locais fazem do Real Parque um bairro super agradável. Temos grandes shoppings nas redondezas, como Cidade Jardim, Morumbi e Market Place, além do Hospital Albert Eisnteim e São Luiz. Fácil acesso pela Marginal Pinheiros ou opções pelo túnel da Juscelino Kubitscheck ou a ponte da Cidade Jardim. Venha conhecer! Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.  Fale conosco: -;210;4;5;3;1740000;4986;1573;https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-real-parque-zona-sul-sao-paulo-sp-210m2-id-2645679966/;Vila Morumbi; São Paulo
Rua Apinajés;Belíssimo apartamento no Condomínio Florenza, com 128m². Imóvel com cara de lar 3 dormitórios amplos sendo 2 suítes, repleto de armários. Sala espaçosa e excelente iluminação natural, com lavabo social e varanda envidraçada com mecanismos novos. Cozinha com planejados com ótima disposição e espaço para mesa de refeições. Área de Serviços bem ventilada com quarto de serviços e mais um banheiro. Elevador Privativo. Vagas de Garagem fixas e muito espaço de manobra. Condomínio em reforma de modernização. Excelente localização na Rua Apinajés, local com repleto de comércios para fazer tudo a pé. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.  Fale conosco: -;128;3;4;4;997000;1590;405;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-perdizes-zona-oeste-sao-paulo-sp-128m2-id-2645678102/;Perdizes; São Paulo
Rua Victório Santim;Este encantador apartamento à venda está localizado no bairro de Itaquera, na rua Victorio Santim, número 3086, proporcionando uma localização privilegiada. Com 45 metros quadrados, 2 quartos e acabamentos de alta qualidade, este imóvel oferece conforto e estilo. O apartamento apresenta piso em porcelanato, banheiro com acabamento marmorizado, box de vidro e chuveiro a gás. A cozinha conta com azulejos nas paredes, gás encanado e uma pia de granito preto. As paredes da sala possuem detalhes de cimento queimado, conferindo um toque moderno ao ambiente. Localizado em um condomínio com lazer completo, incluindo piscina, academia e áreas de convivência ao ar livre, este apartamento proporciona momentos de relaxamento e diversão. Além disso, oferece a comodidade de uma vaga de garagem. Não perca a oportunidade de adquirir este imóvel bem cuidado, com acabamentos de qualidade e em um condomínio completo, situado no bairro de Itaquera, na rua Victorio Santim, número 3086. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.  Fale conosco: -;45;2;1;1;230000;379;1;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-itaquera-zona-leste-sao-paulo-sp-45m2-id-2645678873/;Itaquera; São Paulo
Rua Deputado Laércio Corte;O casal que comprou esse apartamento se encantou com a luminosidade e ventilação natural, fez tudo com muito carinho para viver com qualidade e estilo. Agora o desejo deles é morar no interior e por isso você terá a oportunidade de desfrutar desse lindo imóvel totalmente reformado! A localização é perfeita, entre o futuro empreendimento Parque Global e o famoso Parque Burle Marx, passando pela nova mega loja do Pão de Açúcar. Fácil acesso à sede da Nestlé, ao Rochaverá Corporate Towers, ao Centro Empresarial e a outras empresas que se estabeleceram na Marginal Pinheiros nos últimos anos. Escolas renomadas como Scuola Italiana, Pio XII e Porto Seguro bem próximas e com fácil acesso. Ótima localização que também conta com boa estrutura de segurança pública e privada. O apartamento é muito agradável e com ótima planta de 3 dormitórios. Um deles é suíte, outro está montado como sala de TV e o terceiro como home office, mas todos facilmente adaptáveis à sua estrutura de família. Sala ampla para 3 ambientes muito arejada e com ótima luminosidade, conta com lavabo e varanda. Uma cozinha de cair o queixo com planejados de muita qualidade, cooktop, coifa, forno embutido e um belo espaço para refeições rápidas. Área de serviço ampla com lavanderia, despensa e banheiro de funcionário. Completando as vantagens deste imóvel, você poderá contar com 3 vagas de garagem no subsolo do prédio. Condomínio, com portaria física 24h, muito bem cuidado. A área comum conta com lago de carpas, quadra, piscina, sauna, quiosque de churrasqueira, academia e salão de festas. Venha fazer uma visita e se encantar com esse lindo apartamento!! Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.  Fale conosco: -;166;3;2;3;775000;1834;545;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-panamby-zona-sul-sao-paulo-sp-166m2-id-2645679120/;Paraíso do Morumbi; São Paulo
Rua Paraná;MARAVILHOSA CASA Á VENDA NO CONDOMÍNIO ARUJAZINHO III- --  COM UM TERRENO AMPLO!! --- 03 Dormitórios, sala de estar, sala de jantar, lareira, lavabo, cozinha, lavanderia, 02 banheiros, edícula, pomar, churrasqueira, ar- condicionado. Garagem para 20 carros. ---  Doc.: Escritura e Matrícula .--   Estuda permuta! Consultar!--  Aceita Financiamento Bancário. --  CONDOMINIO ARUJÁZINHO I II III --  Condomínio com vigilância 24 horas, câmeras, piscinas inclusive aquecida, saunas, academia com diversas modalidades de aulas, diversas quadras poliesportivas, churrasqueiras, lagos, parques, local arborizado e tranquilo.---  Localizado próximo á escolas, mercados, farmácias, padaria, comercio em geral, academia,---  Posto médico, feiras livres. Acesso as principais rodovias, como Presidente Dutra, Ayrton Senna e Pedro Eroles.--- -;380;3;2;20;1900000;940;640;https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-piscina-condominio-arujazinho-aruja-sp-380m2-id-2645678377/;Arujázinho I; II e III, Arujá
Rua Coronel Vicente;Vende apartamento no centro histórico com 95,70m², dois dormitóris, living dois ambientes, cozinha, dependência completa, banheiro, piso parquet, sol da tarde.<BR><BR>Condomínio oferece: Portaria em horário comercial, câmeras de vigilância, elevadores. Estudamos seu imóvel no negócio. Além deste, mais de 25 mil opções em nosso site. http://www.libertasimobiliaria.com.br/ ]]>;95;1;2;2;380000;550;170;https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-centro-historico-porto-alegre-rs-95m2-id-2645656162/;Centro Histórico; Porto Alegre
Rua Vinte e Quatro de Outubro;Impecável apartamento de 02 dormitórios, cozinha, área de serviço, living dois ambientes, banho social, bem iluminado, todo reformado.<BR>Ficam móveis sob medida, cozinha, dormitórios, split. Estudamos seu imóvel no negócio. Além deste, mais de 25 mil opções em nosso site. http://www.libertasimobiliaria.com.br/ ]]>;61;2;1;1;345000;555;98;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-auxiliadora-porto-alegre-rs-61m2-id-2645656653/;Auxiliadora; Porto Alegre
Rua General Caldwell;Pavilhão com 170m² de área privativa, com espaço para carga e descarga, 2 banheiros, pé direito alto com possibilidade de construção de mezanino, sistema de Energia solar fotovoltaica. Bem localizado próximo de mercados farmácias, restaurantes, pontos de ônibus, postos de combustível e agencias bancarias. Fica a 5 minutos do Shopping Praia de Belas, Parque Marinha do Brasil, Skate Parque Mega Pista da Orla e a poucos minutos da Usina do Gasômetro.<BR>Agende já sua visita! Estudamos seu imóvel no negócio. Além deste, mais de 25 mil opções em nosso site. http://www.libertasimobiliaria.com.br/ ]]>;170;0;1;1;1200000;0;530;https://www.zapimoveis.com.br/imovel/venda-galpao-deposito-armazem-menino-deus-porto-alegre-rs-170m2-id-2644592155/;Menino Deus; Porto Alegre
Rua General Gomes Carneiro;Linda casa, bem localizada, rua calma e tranquila. Casa disposta por sala, cozinha, área de churrasqueira com telhado retrátil, segundo piso com 3 dormitórios sendo uma suite de frente, e banheiro social para os outros dois dormitórios e terceiro piso com área que pode ser usada como dormitório. Garagem e porteiro eletrônico. Estudamos seu imóvel no negócio. Além deste, mais de 25 mil opções em nosso site. http://www.libertasimobiliaria.com.br/ ]]>;117;3;3;1;450000;410;1129;https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-churrasqueira-medianeira-porto-alegre-rs-117m2-id-2645655770/;Medianeira; Porto Alegre
Avenida Venâncio Aires;Ótimo apartamento a venda na Cidade Baixa no ladinho da Redenção. Imóvel com 99 m² privativos, 3 dormitórios, living 2 ambientes amplos, cozinha, área de serviço. Agende já sua visita e venha conferir! Estudamos seu imóvel no negócio. Além deste, mais de 25 mil opções em nosso site. http://www.libertasimobiliaria.com.br/ ]]>;110;3;1;1;350000;200;0;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-cidade-baixa-porto-alegre-rs-110m2-id-2645655669/;Cidade Baixa; Porto Alegre
Passeio dos Coqueiros;Lindo Apartamento pé na areia - Módulo 05.  - Sol da Manhã - Varanda gourmet com churrasqueira e fechamento em vidro - Mobiliado e decorado - Living para 02 ambientes integrado a cozinha americana - 02 dormitórios sendo 1 Suíte - WC social - Área de serviço - 01 vaga de garagem  O Edifício oferece:  - Piscina adulto com borda infinita - Espaço gourmet - Salão de festas - Sala de jogos adulto e infantil - Fitness - Sauna - Brinquedoteca  Formas de pagamento: À combinar.  Agende sua visita. -;94;2;1;1;2920000;1900;0;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-riviera-de-sao-lourenco-bertioga-sp-94m2-id-2629318091/;Riviera; Bertioga
Avenida José Pinto Ferreira;Casa em condomínio com 4 quartos - 320 m² - piscina - Analisa permuta - Residencial Monte Carlo - Urbanova em São José Dos Campos.  Sendo 4 dormitórios (suítes) amplas, toda preparada para ar condicionado, suíte máster com duas cubas e duas duchas vista para Serra. Sala ampla para 3 ambientes, cozinha toda aberta e integrada, no térreo sala de TV com possibilidade de mais um quarto embaixo. Casa toda preparada para ar condicionado, aquecimento solar já instalado e com aspiração central já instalado.  Analisa permuta por imóvel menor valor.  A casa está localizada em um condomínio estratégico perto de comércios: Padarias, supermercados, açougues, academias, e boas escolas como Solares colégios, Kumon, Mater Dei, Colégio Nova Geração, Maple Bear em São José dos Campos, ótimas opções de lazer como, Tênis / Beach Tênis, Futebol Society, Golfe, e entre outras. Está a poucos minutos das principais avenidas: Av Jorge Zarur, Cassiano Ricardo, Lineu de Moura, Shishima Hufumi e Rodovia como Presidente Dutra e Tamoios.   Aproveite está ótima oportunidade agende sua visita e se encante com esta casa.  Fale conosco: -;320;4;6;4;2650000;450;200;https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-4-quartos-com-piscina-urbanova-sao-jose-dos-campos-sp-320m2-id-2631864769/;Condomínio Residencial Monte Carlo; São José dos Campos
Alameda Campinas;"Apartamento reformado (5 anos de garantia pela construtora) com living amplo e integrado com 30 m², face norte com janelas grandes, excelente ventilação natural e iluminação natural nas duas faces do apartamento, janelas amplas e novas com caixilhos em alumínio branco, iluminação full LED, louças DECA de ponta, living e dormitórios com piso de madeira de cumaru, pisos e revestimentos de cozinha e banheiros em porcelanato, rodapés Santa Luzia, marcenaria de áreas molhadas novas e entregues. Edifício em excelente estado de conservação, conta com jardim, portaria modernizada e salão de festas. Apartamento todo reformado, com toda a infraestrutura frigorígena, elétrica, hidráulica e de aquecimento substituídos, execução e projeto exclusivo da Engenharia Valor, layout único no edifício! Localizado no melhor bairro da região dos jardins, no Jardim Paulista. O bairro conta com uma ampla rede de restaurantes de renome, como: o Rodeio, tradicional steakhouse paulistano; o Ristorante Zucco, uma típica cantina italiana; o Tomyam, restaurante típico tailandês; dentre outras inúmeras opções. Além da gastronomia do bairro, o imóvel conta com fácil acesso às principais vias da cidade, além da Avenida Paulista e a Rua Oscar Feire, que contam com shoppings, teatros, museus, boutiques, bares e cafés. Agende uma visita para conhecer o imóvel. - Ref.: REO79820";126;3;4;1;1440000;2134;473;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-jardim-paulista-zona-sul-sao-paulo-sp-126m2-id-2645609676/;Jardim Paulista; São Paulo
Alameda Lorena;MORE NO CORAÇÃO DO JARDINS! ALAMEDA LORENA, R$ 10.869,57 p/m²!!!, Apartamento em último Andar ( Unificado ), com planta totalmente reversível e adaptável às suas necessidades de Moradia, Prédio Vintage com localização ímpar, as Janelas dão vista para para o Parque do Ibirapuera, próximo ao Shopping Jardim Pamplona Supermercados, Rua Oscar Freire e à toda comodidade que o Bairro do Jardins oferece. Valor do metro quadrado abaixo da Avaliação, R$ 10.869,56!! - Ref.: REO24589;138;3;3;1;1500000;1550;407;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-jardim-america-zona-sul-sao-paulo-sp-138m2-id-2645611566/;Jardim Paulista; São Paulo
Alameda Lorena;Apartamento com 180 m² de área útil, 3 amplos dormitórios sendo 1 suite. Amplo living com janelões e muita luz natural em um dos melhores pontos do Jardins. Totalmente reformado. Piso de tabuas largas na sala e nos quartos tacos. Cozinha planejada de muito bom gosto, dependência completa de empregada, 2 vagas de garagem. Agende uma visita! - Ref.: REO249167;180;2;3;1;1920000;1950;382;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-jardim-paulista-zona-sul-sao-paulo-sp-180m2-id-2645611571/;Jardim Paulista; São Paulo
Alameda Casa Branca;Apartamento com ambientes iluminados e ensolarados, próximo a Alameda Lorena e infraestrutura de serviços e transportes. A área social é composta por sala de estar com janelões, jantar e sala de TV, cozinha, área de serviço, banheiro de funcionária, piso em taco de madeira, hall social privativo. A área íntima possui três dormitórios, sendo uma suíte. - Ref.: REO610323;140;3;4;2;2000000;2200;1033;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-jardim-paulista-zona-sul-sao-paulo-sp-140m2-id-2645608048/;Jardim Paulista; São Paulo
Avenida Nove de Julho;Apartamento em localização privilegiada no Jardim Europa. O imóvel com 160m² conta com 2 dormitórios, já que o terceiro foi usado para estender a sala. É fácil de reverter. Uma vista incrível da região. Localizado próximo à Faria Lima, com seu farto comércio, e junto aos melhores restaurantes da Rua Amauri. Vale a pena conhecer. Agende uma visita. - Ref.: REO682386;150;3;2;1;1890000;2900;750;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-jardim-paulista-zona-sul-sao-paulo-sp-150m2-id-2645609628/;Jardim Paulista; São Paulo
Avenida Dezenove de Janeiro;"Lindo apartamento na Vila Carrão:  02 dormitórios; 02 banheiros; 01 suíte; 01 Vaga na garagem; Sala para 02 ambientes; Área de serviço; Área gourmet de 10 metros; Salão de festas; Piscinas/ adulto e infantil; Brinquedoteca; Área churrasqueira; Campo de futebol, com gramado natural; Sala de academia.  Linda localidade, bem no centro da Vila Carrão.  Perto de hipermercados, farmácias, restaurantes....";63;2;2;1;548000;780;54;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-vila-carrao-zona-leste-sao-paulo-sp-63m2-id-2645305257/;Vila Carrão; São Paulo
Não informado;"PLANTÃO DE VENDAS EXCLUSIVAS WHATSAPP OU LIGUE (9.8) 9.8.2.5.2-8.2.5.8  CRECI 5496  CHRISTIAN TONELLI  O MARIANNE é um empreendimento da CAP ENGENHARIA localizado no ARAÇAGY, a 700 metros do ALPHAVILLE.  A elegância e sofisticação que você e sua família merecem! Condomínio de casas duplex de alto luxo com muita tecnologia e requinte. E você personaliza sua casa ainda na obra, escolhendo o kit de acabamento (Modelo Standart, Prime E Premium)  As casas possuem terreno de 163 m² e área construída de 143 m², com 3 quantos sendo 2 suítes, sala de estar/jantar, lavabo, cozinha, deposito, área de serviço e uma área de lazer privativa com piscina, deck, espaço gourmet, churrasqueira, pergolado de madeira e área verde. São 2 vagas de garagem.  Diferenciais: As casas serão entregues com placas solares para produzir 300kW/h de energia por mês (expansivel até 600 kW/h); Grande Porta de Entrada Pivotante e Fechadura com Leitor Biométrico; Infraestrutura para Automação, Piso Porcelanato de 1m x 1M e Pré-Disposição de Água Quente.  O Condomínio conta com 25 casas e uma área de lazer com piscina Adulto e Infantil, amplo salão de festas, espaço fitness , playground e Bicicletário.  O pagamento é flexibilizado, com uma poupança durante a construção e saldo a financiar com o banco após a entrega. Tem possibilidade de parcelamento de todo valor direto com a construtora.  A entrega está prevista para Abril de 2024.  PLANTÃO DE VENDAS EXCLUSIVAS WHATSAPP OU LIGUE (9.8) 9.8.2.5.2-8.2.5.8  CRECI 5496  CHRISTIAN TONELLI";143;3;4;4;1245600;1;1;https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-aracagy-sao-jose-de-ribamar-ma-143m2-id-2645567686/;Araçagy; São José de Ribamar
Rua Dolores Duran;Encontrar o imóvel ideal, ficou mais fácil com a parceria L4S e ACI Negócios Imobiliários! - Casa térrea: Ideal para pessoas que preferem evitar escadas e preferem uma distribuição mais prática e acessível em um único nível.  - Varanda ampla: Uma varanda espaçosa oferece um espaço adicional para relaxar, receber amigos ou simplesmente apreciar a vista do quintal.  - 4 dormitórios, incluindo 2 suítes: Acomodações generosas para a família e hóspedes, com privacidade garantida nas suítes.  - Sala com 3 ambientes: Perfeita para criar diferentes espaços de convivência, como sala de estar, sala de jantar e espaço de entretenimento.  - Cozinha rica em armários: Uma cozinha bem equipada e com bastante armazenamento é essencial para o conforto e organização na hora de cozinhar.  - Lindo quintal: Um espaço ao ar livre para aproveitar momentos de lazer, praticar atividades físicas ou relaxar, garantindo qualidade de vida.  - Por do sol maravilhoso: Tendo um cenário incrível como fundo, com um belo pôr do sol, proporciona uma atmosfera especial e sensação de paz.  Essas características oferecem um ambiente agradável e propício para aqueles que valorizam a qualidade de vida.  Mais informações, mencione a ref. CA******.;241;4;3;9;1300000;1380;148;https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-4-quartos-transurb-itapevi-sp-241m2-id-2645569534/;Transurb; Itapevi
Não informado;"PLANTÃO DE VENDAS EXCLUSIVAS WHATSAPP OU LIGUE (9.8) 9.8.2.5.2-8.2.5.8  CRECI 5496  CHRISTIAN TONELLI  O WISH RESIDENCE é um empreendimento da LUA NOVA (LN) localizado na região do Araçagi, ao lado do Condomínio Freedom.  Tudo o que você deseja em um único Empreendimento: Localização privilegiada, na região que mais cresce e de maior valorização por metro quadrado;   Segurança e diversão de um clube completo; Modernidade de um condomínio inteligente e automatizado; Exclusividade de apenas 3 torres e 160 aptos;  e Economia com preços abaixo do praticado no mercado! Os apartamentos possuem 55 m², com 2 quartos sendo 1 SUÍTE, banheiro social, sala de estar/jantar, cozinha americana, área de serviço e uma ampla varanda.  Todo o piso do apto será no PORCELANATO polido. O gás é encanado e individualizado.Todas as unidades no andar TÉRREO serão entregues com GIARDINO, espécie de QUINTAL  com 41 até 152 m² adicionais a área do apartamento.  As paredes dos quartos e cozinha são de Gesso, possibilitando assim personalização de acordo com o momento de cada cliente!  As torres contam com fachadas no estilo NEOCLÁSSICA, 5 andares e com ELEVADORES.  A área de lazer é completa, com salão de festas com Espaço gourmet e churrasqueira, piscinas adulto e infantil,  Academia de ginastica, playground e quadra poliesportiva.  A entrega está prevista para DEZEMBRO de 2025.";55;2;2;2;238000;1;1;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-aracagy-sao-jose-de-ribamar-ma-55m2-id-2645568028/;Araçagy; São José de Ribamar
Rua Capitão Luis Carlos Salomão da Silva;Encontrar o imóvel ideal, ficou mais fácil com a parceria L4S e Habilar Imóveis! Oportunidade de Negócio Venda de casa térrea nova   Condomínio Damha II  terreno 560 m² construção 260 m² 1suíte c/ closet e hidromassagem  2 dormitórios tipo apto sala 2 amb. pé direito alto home escritório  lavabo  cozinha gourmet  dispensa lavanderia piscina c/ cascata churrasqueira  5 wcs roupeiro rica em armários  rasgos em gesso iluminados em led banheiros c/ jardim de inverno  dormitórios c/ portas venezianas torneiras monocomando aquecedor solar rica em paisagismo esquina de frente a área de lazer 50 metros da portaria  Falar com Junior corretor 17-******-****** WhatsApp.;260;3;5;4;2200000;600;531;https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-residencial-jardins-sao-jose-do-rio-preto-sp-260m2-id-2645568577/;Residencial Jardins; São José do Rio Preto
Rodovia João Leme dos Santos;Encontrar o imóvel ideal, ficou mais fácil com a parceria L4S e Qualita Imóveis! Casa térrea com 3 suítes cozinha americana no Condomínio Fazenda Alta Vista Salto de Pirapora 3 quartos suíte, 5 banheiros, sala para 2 ambientes, cozinha planejada, 6 vagas.  Casa com acabamentos alto padrão, cozinha planejada em (conceito aberto) integrada a sala de estar e jantar. Casa com pé direito alto toda mobiliada e decorada, com belíssimo jardim, área gourmet, 3 vagas cobertas e 3 descobertas.    Condomínio com portaria 24h, ampla área verde, lago com deck, bosques naturais, quadra de vôlei, quadras de tênis, campo de futebol, quadra de bocha, Street Ball, piscina semiolímpica, playground, salão de festas, espaço gourmet, pista de caminhada.  A localização do residencial favorece uma visão privilegiada da natureza, com as belas paisagens ao redor parte do residencial é de área de preservação permanente. Localizado com fácil acesso a comércios, a cerca de 15 minutos da Zona Sul e Oeste de Sorocaba, á 10 minutos do shopping Iguatemi Sorocaba.;253;3;5;6;1700000;380;980;https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-parque-reserva-fazenda-imperial-sorocaba-sp-253m2-id-2645568916/;Parque Reserva Fazenda Imperial; Sorocaba
